Time Frame,Location Id,Location,Median Rent,Crime
1996/9/1,13,Canterbury,173,7485.181335
1996/9/1,14,Otago,140,3698.820086
1996/9/1,15,Southland,120,2756.889106
1996/9/1,17,Nelson,170,3036.674351
1996/10/1,1,Northland,150,3368.923886
1996/10/1,2,Auckland,260,9415.298203
1996/10/1,3,Waikato,150,6480.072076
1996/10/1,4,Bay of Plenty,170,4583.45143
1996/10/1,5,Gisborne,150,5450.212906
1996/10/1,7,Taranaki,150,3887.226924
1996/10/1,8,Manawatu-Whanganui,140,3604.239626
1996/10/1,9,Wellington,200,4166.208827
1996/10/1,12,West Coast,125,3032.661361
1996/10/1,13,Canterbury,170,7481.111674
1996/10/1,14,Otago,150,3684.768809
1996/10/1,15,Southland,120,2743.415187
1996/10/1,17,Nelson,165,3032.661361
1996/11/1,1,Northland,150,3347.49368
1996/11/1,2,Auckland,260,9373.094866
1996/11/1,3,Waikato,160,6441.076072
1996/11/1,4,Bay of Plenty,170,4579.761586
1996/11/1,5,Gisborne,148,5462.116955
1996/11/1,7,Taranaki,140,3872.549767
1996/11/1,8,Manawatu-Whanganui,150,3577.309506
1996/11/1,9,Wellington,200,4161.728365
1996/11/1,12,West Coast,120,3026.82128
1996/11/1,13,Canterbury,170,7473.628594
1996/11/1,14,Otago,150,3670.817136
1996/11/1,15,Southland,115,2728.777811
1996/11/1,17,Nelson,160,3026.82128
1996/12/1,1,Northland,150,3329
1996/12/1,2,Auckland,260,9317
1996/12/1,3,Waikato,165,6391
1996/12/1,4,Bay of Plenty,175,4564
1996/12/1,5,Gisborne,150,5462
1996/12/1,7,Taranaki,140,3852
1996/12/1,8,Manawatu-Whanganui,145,3552
1996/12/1,9,Wellington,200,4148
1996/12/1,12,West Coast,120,3019
1996/12/1,13,Canterbury,180,7462
1996/12/1,14,Otago,150,3657
1996/12/1,15,Southland,125,2713
1996/12/1,17,Nelson,170,3019
1997/1/1,1,Northland,150,3314.225619
